BlockName,Category,CreatedOn,Crop,DistrictName,KCCCallID,KccAns,QueryText,QueryType,Season,Sector,StateName,day,month,year,QueryType_raw,mismatch_score,is_mismatch
THODUPUZHA,Others,2024-10-02 21:16:06.587,Others,IDUKKI,2636840,"Pit of size 2.5m length, 1m breadth, and 0.3m depth are taken.At the bottom of the pit, a layer of coconut husk is spread with concave side up to ensure drainage of excess water and also for proper aeration. The husk is moistened and above this, biowaste mixed with cowdung in the ratio 8:1 is spread up to a height of 30cm above the ground level and water sprinkled daily. After partial decomposition of wastes for 7 to 10 days, the worms are introduced @500to 1000 numbers per pit.",Asked about the preparation of vermicompost.,Organic Farming,,AGRICULTURE,KERALA,2,10,2024,Organic Farming,1.0,True
ELEMDESAM,Condiments and Spices,2024-10-15 20:45:51.373,Pepper,IDUKKI,2796870,"Apply 110g urea, 280g rajphos and 250g potash per plant per year. Also apply 10 kg organic manure per plant per year. Apply in basins of 50-75cm radius and 10-15cm depth. 500g Lime can be applied two weeks ahead of fertilizer application.",Asked about fertilizer requirement of Black pepper,Nutrient Management,,HORTICULTURE,KERALA,15,10,2024,Nutrient Management,0.9783862679977915,True
KATTAPPANA,Condiments and Spices,2024-10-24 15:43:52.007,Cardamom,IDUKKI,2864994,Suggested to apply sawdust 500g per plant or neemleaves 250 gram per plant  in basins one week prior to planting and water daily.Drench soil with bacillus macerans 20 gram per liter or paecilomyces lilacinus  20 gram per liter of water or drench soil with dimethoate 2ml per liter of water.,Asked about management of nematode in cardamom,Plant Protection,,HORTICULTURE,KERALA,24,10,2024,Plant Protection,1.0,True
THODUPUZHA,Vegetables,2024-10-26 20:20:57.340,Cowpea (Vegetable),IDUKKI,2880828,Go for soil analysis and confirm the deficiency. Apply Magnesium sulphate (320 gram /cent ) in bands near plants.,Asked about management of magnesium deficiency in cowpea,Nutrient Management,,HORTICULTURE,KERALA,26,10,2024,Nutrient Management,0.8724972943416408,True
VYPEEN,Fruits,2024-10-01 11:16:58.297,Banana,ERNAKULAM,2626782,Suggested to apply organic fertilizer 15 days after the application of Lime.,Asked about the nutrient management of Banana.,Nutrient Management,,HORTICULTURE,KERALA,1,10,2024,Nutrient Management,1.0,True
VYPEEN,Fruits,2024-10-03 09:02:33.780,Banana,ERNAKULAM,2646217,"Suckers are removed from the mother either by cutting the sucker at ground level or by destroying the heart of the suckers without detaching the sucker from the plant.Desuckering can also achieved by pouring kerosene oil into the heart of the sucker.Under garden land and wet land cultivation, desuckering is done at monthly intervals.",Asked  about desuckering in banana,Cultural Practices,,HORTICULTURE,KERALA,3,10,2024,Cultural Practices,0.6372275521838227,True
VYTTILA,Others,2024-10-03 20:38:55.167,Others,ERNAKULAM,2646224,"Spread the cabbage leaf and papaya leaf around the field, after the attraction of snail spray copper sulphate 10g/L.

Metaldehyde 60g/Cent.",Asked about the management of snail in field.,Plant Protection,,AGRICULTURE,KERALA,3,10,2024,Plant Protection,0.8192330790159272,True
MUVATTUPUZHA,Sugar and Starch Crops,2024-10-12 13:16:23.850,Tapioca (Cassava),ERNAKULAM,2761167,suggested that  third dose has to be applied three months after planting. The fertilizer dose is 145 gram urea and 110 gram Muriate of Potash respectively for a cent.-for tapioca,Asked about fertilizer requirement of tapioca,Nutrient Management,,AGRICULTURE,KERALA,12,10,2024,Nutrient Management,0.8479116112301073,True
KOTHAMANGALAM,Condiments and Spices,2024-10-12 13:16:38.340,Nutmeg,ERNAKULAM,2761165,suggested to apply magnesium sulphate 300 gram per tree,Asked about dosage of magnesium sulphate in nutmeg,Nutrient Management,,HORTICULTURE,KERALA,12,10,2024,Nutrient Management,0.5996712390535012,True
MULANTHURUTHY,Flowers,2024-10-14 13:48:58.270,Anthurium,ERNAKULAM,2779760,Spray Potassium nitrate 5g per litre of water,Asked about management of Potassium deficiency in Anthurium,Nutrient Management,,HORTICULTURE,KERALA,14,10,2024,Nutrient Management,0.8771474019272918,True
EDAPPALLY,Fruits,2024-10-18 12:44:01.270,Mango,ERNAKULAM,2819330,Suggested to cut infected portion and swab with bordeux paste then spray copperoxychloride 3 gram per liter of water to control dieback in mango.,Asked about management of dieback in mango,Plant Protection,,HORTICULTURE,KERALA,18,10,2024,Plant Protection,0.7053202114567604,True
KOTHAMANGALAM,Condiments and Spices,2024-10-18 12:47:53.573,Nutmeg,ERNAKULAM,2819301,suggested that bordeux mixture and ekalux is not compatible to spray together.,Asked about compatibility of bordeux mixture and ekalux,Plant Protection,,HORTICULTURE,KERALA,18,10,2024,Plant Protection,0.26366413814991474,False
VYPEEN,Others,2024-10-20 12:43:54.393,Others,ERNAKULAM,2838119,Suggested to use cowdung and agriculture waste to prepare compost .Moistened it with cowdung slurry and it will take almost 7-8 month for compost production.,Asked about preparation of compost using cowdung,Organic Farming,,AGRICULTURE,KERALA,20,10,2024,Organic Farming,0.6691264335804677,True
MUVATTUPUZHA,Fruits,2024-10-21 14:19:07.890,Mango,ERNAKULAM,2846143,Spray Planofix by mixing 2.5ml in 10 litre of water,Asked about management of Potassium deficiency in Banana,Plant Protection,,HORTICULTURE,KERALA,21,10,2024,Plant Protection,1.0,True
VYTTILA,Fruits,2024-10-27 13:34:10.193,Mango,ERNAKULAM,2889465,Recommended to spray 5ml/l on the leaves,Asked about application of azadiractin,Plant Protection,,HORTICULTURE,KERALA,27,10,2024,Plant Protection,1.0,True
ANGAMALI,Vegetables,2024-10-29 12:57:44.207,Amaranthus/Grain Amaranthus,ERNAKULAM,2906748,Suggested that Prophylatic spray of baking soda: turmeric powder mixture (Ratio 1:4) (4 gram/litre of water)  .,Asked about prophylatic management of Leaf blight in amaranthus,Plant Protection,,HORTICULTURE,KERALA,29,10,2024,Plant Protection,0.8853676632160514,True
MULANTHURUTHY,Animal,2024-10-31 17:47:27.003,"Bovine(Cow,Buffalo)",ERNAKULAM,2921042,Animal husbandry department  Toll Free - 1800 419 8800,Asked about contact number of Animal husbandry department,Cattle shed Planning and Management,,ANIMAL HUSBANDRY,KERALA,31,10,2024,Cattle shed Planning and Management,0.5748731735821008,True
WADAKKANCHERY,Fruits,2024-10-01 12:25:21.807,Mango,THRISSUR,2626796,suggested to spray copper oxychloride 3 gram per liter of water,Asked about management of dieback in mango,Plant Protection,,HORTICULTURE,KERALA,1,10,2024,Plant Protection,1.0,True
ANTHIKKAD,Cereals,2024-10-01 18:37:30.660,Paddy (Dhan),THRISSUR,2626774,Apply 240kg lime per acre,Asked about liming in rice,Field Preparation,,AGRICULTURE,KERALA,1,10,2024,Field Preparation,1.0,True
MATHILAKAM,Vegetables,2024-10-07 13:23:26.310,Ivy Gourd,THRISSUR,2700489,Suggested to spray pseudomonas 20g per liters of water.,Asked about management of leaf spot in ivygourd,Plant Protection,,HORTICULTURE,KERALA,7,10,2024,Plant Protection,1.0,True
CHOWANNUR,Cereals,2024-10-12 16:06:22.600,Paddy (Dhan),THRISSUR,2762993,Suggested that detailed  soil sampling procedure is in the below link https://agritech.tnau.ac.in/agriculture/agri_soil_sampling.you can contact district soil testing lab Thrissur 938347410,Asked about soil sampling procedure,Soil Testing,,AGRICULTURE,KERALA,12,10,2024,Soil Testing,0.6066538122366922,True
CHOWANNUR,Vegetables,2024-10-15 17:21:50.700,Bhindi(Okra/Ladysfinger),THRISSUR,2795004,Spray and drench Copper oxy chloride 2.5g per litre of water,Asked about management of Bacterial wilt of Bhindi,Plant Protection,,HORTICULTURE,KERALA,15,10,2024,Plant Protection,1.0,True
KODUNGALLUR,Vegetables,2024-10-18 08:50:16.260,Brinjal,THRISSUR,2819320,"Mix soil, cocopeat and organic manure at 2:1:1 ratio",Asked about potting mixture preparation,Field Preparation,,HORTICULTURE,KERALA,18,10,2024,Field Preparation,1.0,True
OLLUKKARA,Plantation Crops,2024-10-19 14:49:48.730,Coconut,THRISSUR,2833789,"Remove and destroy the rotten portions from the spear leaf and the 2-3 adjacent leaves.
pray crowns and leaves with Copper oxychloride 50 WP (3 gram/litre of water)  in January, April-May and September. While spraying, care should be taken to spray the spindle leaf and 2-3 adjacent leaves.",Asked about management of leaf rot in coconut,Plant Protection,,HORTICULTURE,KERALA,19,10,2024,Plant Protection,0.9496981939205306,True
0   ,Cereals,2024-10-24 11:27:05.650,Paddy (Dhan),THRISSUR,2865007,Suggested to contact krishibhavan,Asked about subsidy avaialble for fertilizer application in paddy,Nutrient Management,,AGRICULTURE,KERALA,24,10,2024,Nutrient Management,1.0,True
KODUNGALLUR,Vegetables,2024-10-26 08:31:28.113,Ivy Gourd,THRISSUR,2880864,Suggested to spray KNO3 3g per liters of water,Asked about management of K deficiency in chilli,Nutrient Management,,HORTICULTURE,KERALA,26,10,2024,Nutrient Management,1.0,True
CHALAKKUDY,Flowers,2024-10-29 10:37:04.710,Jasmine,THRISSUR,2906765,The compost pile requires a thorough turning on the twenty-first day. The compost is ready in about 40 days.,Asked about composting of weeds for jasmine,Organic Farming,,HORTICULTURE,KERALA,29,10,2024,Organic Farming,1.0,True
ALATHUR,Plantation Crops,2024-10-03 18:41:22.107,Arecanut,PALAKKAD,2646265,"Plant seedlings in pits at a spacing 2.7m*2.7m.Dig pits of size 60cm*60cm*60cm and fill up with rich topsoil to a level of 15cm from the bottom. Plant seedlings at the centre of the pit, cover with soil up to colar level and press around.",Asked about the planting operations in Arecanut.,Field Preparation,,HORTICULTURE,KERALA,3,10,2024,Field Preparation,1.0,True
PATTAMBI,Vegetables,2024-10-09 10:25:51.473,Brinjal,PALAKKAD,2726026,"suggested  Bacterial wilt resistant open pollinated variety:Haritha ,surya ,swetha
Bacterial wilt resistant f1 hybrid:Neelima",Asked about bacterial wilt resistant varieties of brinjal,Seeds and Planting Material,,HORTICULTURE,KERALA,9,10,2024,Seeds and Planting Material,0.1643564630258867,False
NEMMARA,Vegetables,2024-10-10 16:06:57.073,Bhindi(Okra/Ladysfinger),PALAKKAD,2737606,suggested that potray can be filled with coirpith and perlite,Asked about preparation of potray mix,Field Preparation,,HORTICULTURE,KERALA,10,10,2024,Field Preparation,1.0,True
KOLLENGODE,Vegetables,2024-10-21 10:37:37.970,Tomato,PALAKKAD,2846078,Suggested to spray potassium nitrate 5 gram per liter of water,Asked about management of potassium deficiency in tomato,Nutrient Management,,HORTICULTURE,KERALA,21,10,2024,Nutrient Management,0.9167483479742219,True
KOLLENGODE,Others,2024-10-22 15:21:26.647,Others,PALAKKAD,2849947,Urea can be used as an herbicide to control weeds in agricultural and non-agricultural settings.,Asked about application of urea as herbicide,Weed Management,,AGRICULTURE,KERALA,22,10,2024,Weed Management,0.718194293897103,True
PATTAMBI,Sugar and Starch Crops,2024-10-23 15:22:47.900,Tapioca (Cassava),PALAKKAD,2857392,"The first dose has to be applied at the time of planting. The urea, rock phosphate, Muriate of Potash needed at this time is 140gram, 1110 gram, 110 gram respectively for a cent.
The second dose has to apply two months after planting and the dosage is 140gram urea, 110 gram Muriate of Potash respectively for a cent.
The third dose has to be applied three months after planting. The fertilizer dose is 140 gram urea and 110 gram Muriate of Potash respectively for a cent.",Asked about fertilizer requirement of tapioca,Nutrient Management,,AGRICULTURE,KERALA,23,10,2024,Nutrient Management,0.9836797498023695,True
PALAKKAD,Others,2024-10-27 13:41:30.250,Others,PALAKKAD,2889499,"Recommended to plant during februvary march.Plant the side corms at a spacing of 45 cm on the ridges. Ensure sufficient moisture in the soil at the time of planting.Soon after planting, cover the ridges with suitable mulching materials for retention of moisture and to control weeds.For uniform sprouting, irrigate just after planting and one week later is recommended.",Asked about planting of coclocasia,Cultural Practices,,AGRICULTURE,KERALA,27,10,2024,Cultural Practices,0.8402374104852068,True
KUZHALMANNAM,Pulses,2024-10-29 12:57:51.040,Black Gram (urd bean),PALAKKAD,2906809,The recommended seed rate for black gram is 8 kg/acre. Apply 80kg organic manure per cent at the time of ploughing. Treat the seeds with rhizobium for 30 minutes prior to planting. The seeds are broadcasted. The ideal spacing for plant growth is 25 cm x 15 cm. Apply recommended basal dose of fertilizers at the time of planting. The second dose has to apply in 15 days after sowing and third dose in 30 days after sowing as foliar spray. Black gram reaches harvest maturity in around 55-65 days after sowing,Asked about planting activities of black gram,Field Preparation,,AGRICULTURE,KERALA,29,10,2024,Field Preparation,0.8615098375749061,True
KANJIRAPPALLY,Plantation Crops,2024-10-05 15:35:07.707,Coconut,KOTTAYAM,2669100,"Observe for boreholes in attacked palms and seal all except the top most one. Through the top most hole, imidachloprid (1ml/ litre of water) @ 1-2 litre per palm, using a funnel.",Asked about management of red palm weevil in coconut,Plant Protection,,HORTICULTURE,KERALA,5,10,2024,Plant Protection,0.9656891841522706,True
LALAM,Vegetables,2024-10-08 15:58:46.190,Bhindi(Okra/Ladysfinger),KOTTAYAM,2713581,Spray Cattle urine after diluting 10 times with water,Asked about spraying of Cows urine to vegetables,Organic Farming,,HORTICULTURE,KERALA,8,10,2024,Organic Farming,0.7015160798939755,True
LALAM,Fruits,2024-10-18 10:58:37.860,Mango,KOTTAYAM,2819341,suggested to use 80% cocopeat and 20% perlite for air layering,Asked about air layering in mango,Vegetative Propagation and Tissue Culture,,HORTICULTURE,KERALA,18,10,2024,Vegetative Propagation and Tissue Culture,0.4191382711760817,False
MADAPPALLY,Vegetables,2024-10-22 20:08:08.060,Chillies,KOTTAYAM,2853128,"Contact District Agricultural Farm, Kozha
Phone no: +91-9496000936 , +91-9947745114
State Seed Farm, Kozha
Phone no: +91-9496000934
State Seed Farm, Valachira
Phone no: +91-8281652915",Asked about availability of seedlings of chillies,Seeds and Planting Material,,HORTICULTURE,KERALA,22,10,2024,Seeds and Planting Material,1.0,True
PAMPADY,Plantation Crops,2024-10-25 11:22:23.213,Rubber,KOTTAYAM,2872439,Suggested to apply 625 gram 12:8:12 NPK fertilizer and 100 gram rock phosphate per plant .,Asked about fertilizer requirement of mature rubber,Nutrient Management,,HORTICULTURE,KERALA,25,10,2024,Nutrient Management,0.964426638955501,True
KANJIRAPPALLY,Vegetables,2024-10-27 10:30:35.903,Cowpea (Vegetable),KOTTAYAM,2889501,Suggested to spray Corgaen 3ml per 10 liters of water,Asked about management of pod bug in cowpea,Plant Protection,,HORTICULTURE,KERALA,27,10,2024,Plant Protection,1.0,True
LALAM,Fruits,2024-10-27 13:08:03.973,Mango,KOTTAYAM,2889503,"Suggested that Here are some steps for air layering a mango plant:Girdling: Girdle the stem of the mango plant. Wrapping: Wrap the cut area with damp tissue paper to retain moisture and encourage root growth. Covering: Cover the tissue paper with plastic wrap or a clear plastic bag to create a mini greenhouse effect.Checking: Check the air layer regularly to ensure the tissue paper remains damp. Waiting: Wait for roots to form, which can take several weeks. Cutting: Once the roots are long enough, usually at least 2-3 inches, cut the rooted layer from the parent tree.Potting: Pot the rooted layer",Asked about layering procedure in mango,Cultural Practices,,HORTICULTURE,KERALA,27,10,2024,Cultural Practices,0.8646763431776401,True
SULTHAN BATHERY,Others,2024-10-01 12:20:10.170,Others,WAYANAD,2626779,"suggested to mix 39 gram DAP,30 gram MOP and 23 gram urea","Asked about preaparation of all 18 fertilizer from DAP ,urea and potash",Nutrient Management,,AGRICULTURE,KERALA,1,10,2024,Nutrient Management,0.7920808687497938,True
PANAMARAM,Fruits,2024-10-24 09:20:45.030,Mango,WAYANAD,2864965,Suggested to give ash or potash in mango basin,Asked about management of K deficiency in mango,Nutrient Management,,HORTICULTURE,KERALA,24,10,2024,Nutrient Management,0.8449052266129103,True
SULTHAN BATHERY,Fruits,2024-10-29 15:16:56.223,Banana,WAYANAD,2906751,Drench soil with antibiotics like Streptomycin / Streptocycline 500 ppm (5 gram/10 litre of water).,Asked about management of rhizome rot in banana,Plant Protection,,HORTICULTURE,KERALA,29,10,2024,Plant Protection,1.0,True
0   ,Vegetables,2024-08-22 12:30:07.710,Brinjal,ALAPPUZHA,2242572,suggested to spray borax 2gram per liter of water,Asked about management of boron deficiency in bhindi,Nutrient Management,,HORTICULTURE,KERALA,22,8,2024,Nutrient Management,1.0,True
CHADAYAMANGALAM,Beekeeping,2024-08-05 13:45:26.547,Beekeeping,KOLLAM,2063183,"Teak,Anjili,Toona,Punna are commonly used timbers to make Bee box.",Asked about Timbers used for making Bee box,Cultural Practices,,AGRICULTURE,KERALA,5,8,2024,Cultural Practices,0.6841557904407873,True
KARUNAGAPPALLY,Plantation Crops,2024-08-22 16:54:46.460,Coconut,KOLLAM,2242531,Clean the crown and pour Mancozeb 75 WP @ 5g/300 ml,Asked about management of bud rot in coconut,Plant Protection,,HORTICULTURE,KERALA,22,8,2024,Plant Protection,1.0,True
KOTTARAKKARA,Fruits,2024-08-25 15:51:02.097,Litchi,KOLLAM,2273148,"Remove the top section of the rootstock. Make a vertical cut in the stem that's about as deep as the wedge. 
Carefully insert the wedge into the cut, matching the cambium layer, which is the thin growing layer just inside the bark. Wrap the union firmly with grafting tape. 
Some other methods for propagating longan trees include: air-layering, budding, cutting, and inarching.",Asked about grafting in longan,Vegetative Propagation and Tissue Culture,,HORTICULTURE,KERALA,25,8,2024,Vegetative Propagation and Tissue Culture,0.7812427705089657,True
KASARGOD,Condiments and Spices,2024-08-05 12:24:57.840,Pepper,KASARGOD,2063122,"Kindly contact State Seed Farm, Kasaragod, Phone no.: 9383471970, +914994 230610, 04994-230510
State Seed Farm, Pullor, Phone no: 9383471971, +91467 2268808,",Asked about availability of black pepper seedlings,Seeds and Planting Material,,HORTICULTURE,KERALA,5,8,2024,Seeds and Planting Material,1.0,True
KASARGOD,Plantation Crops,2024-08-05 21:23:57.867,Arecanut,KASARGOD,2063129,Suggested Weather forecast district kasargod and Parappa Block - There is 90% chances for rainfall today and in the next three days but partly cloudy weather will remain for today and tomorrow. Today's expected maximum temperature is  27°C and minimum temperature of 22°C and wind speed is likely to run at  6 kilometres per hour. Schedule the agricultural operations as per the weather forecast,Farmer asked query on Weather,"Post Harvest Management (Cleaning, Grading, Packaging, Food Processing, Cool Chain etc.)",,HORTICULTURE,KERALA,5,8,2024,"Post Harvest Management (Cleaning, Grading, Packaging, Food Processing, Cool Chain etc.)",0.9249761490544792,True
PERAVOOR,Vegetables,2024-03-06 16:16:04.080,Cucumber,KANNUR,631334,Suggested to spray Pottassium nitrate 2g/L,Asked about the increase size of cucumber.,Nutrient Management,,HORTICULTURE,KERALA,6,3,2024,Nutrient Management,1.0,True
TALIPARAMBA,Vegetables,2024-03-09 21:23:08.020,Bitter Gourd,KANNUR,658810,Spray Wettable Sulphur 80 WP @ 2 gram/litre of water or Carbendazim 50 WP @ 1 gram/litre of water.,Asked about management of Powdery Mildew,Plant Protection,,HORTICULTURE,KERALA,9,3,2024,Plant Protection,1.0,True
IRIKKUR,Vegetables,2024-03-10 09:08:56.127,Ash Gourd (Petha),KANNUR,663293,Suggested to spray KNO3 3g per liters of water,Asked about fruit dropping in ash gourd,Nutrient Management,,HORTICULTURE,KERALA,10,3,2024,Nutrient Management,1.0,True
EDAKKAD,Fruits,2024-03-14 13:19:37.773,Papaya,KANNUR,699552,Pits of size 50cmX50cmX50cm are taken & filled with topsoil & organic manure. Two months old seedlings are transplanted .Ideal planting time is May-June. Spacing is 2mX2m,Asked about planting in Papaya,Nutrient Management,,HORTICULTURE,KERALA,14,3,2024,Nutrient Management,0.9396923401641415,True
KUTHUPARAMBA,Others,2024-03-20 11:18:43.843,Others,KANNUR,752775,"Weather forecast for Koothuparambu, Kannur. There is no chance of rainfall today .Can expect rain in upcoming 3 days .Todays maximum temperature is 34°C and minimum temperature is 27°C.Wind is expected to run at 16km/hr. Schedule agriculture operations according to the weather forecast.",Farmer asked query on Weather,Weather,,AGRICULTURE,KERALA,20,3,2024,Weather,0.944556965658492,True
IRIKKUR,Plantation Crops,2024-03-22 10:44:34.323,Cocoa,KANNUR,761576,Suggested to Spray Hexaconazole 1 ml in one litre of water,Asked about management of Cherelle rot in Cocoa,Plant Protection,,HORTICULTURE,KERALA,22,3,2024,Plant Protection,1.0,True
THALASSERY,Vegetables,2024-03-31 12:29:00.110,Chillies,KANNUR,829041,Suggested to apply ash,Asked about not bearing fruits in chilli,Nutrient Management,,HORTICULTURE,KERALA,31,3,2024,Nutrient Management,1.0,True
KILIMANOOR,Others,2024-04-02 13:57:36.187,Others,TRIVANDRUM,841809,"Weather forecast for kilimanoor, Trivandrum- There is 90% possibility for rainfalltoday. Todays expected maximum temperature is 34oC and minimum temperature is 27oC. Wind speed is likely to run at 13 km/hr. Schedule the agricultural operations as per the weather forecast",Farmer asked query on Weather,Weather,,AGRICULTURE,KERALA,2,4,2024,Weather,0.9414596999170348,True
KILIMANOOR,Others,2024-04-03 08:38:45.040,Others,TRIVANDRUM,848435,"Weather forecast for Kilimanoor, Trivandrum- There is 10% possibility for rainfall today. Today's expected maximum temperature is 34oC and minimum temperature is 27oC. Wind speed is likely to run at 14 km/hr. Schedule the agricultural operations as per the weather forecast",Farmer asked query on Weather,Weather,,AGRICULTURE,KERALA,3,4,2024,Weather,0.942688654379964,True
NEDUMANGAD,Condiments and Spices,2024-04-04 12:30:43.747,Turmeric,TRIVANDRUM,855894,"Suggested to contact College of Agriculture Vellayani ,Phone No: 0471-2381915",Asked about planting material availability of turmeric,Seeds and Planting Material,,HORTICULTURE,KERALA,4,4,2024,Seeds and Planting Material,1.0,True
NEMOM,Others,2024-04-05 15:36:23.717,Others,TRIVANDRUM,864733,Weather forecast for Kazhakootam. There are no possibility for rainfall in the upcoming week. Tomorrow's expected maximum temperature is 34oC and minimum temperature is 28oC. Wind speed is likely to run at 21 km/hr. Schedule the agricultural operations as per the weather forecast,Farmer asked query on Weather,Weather,,AGRICULTURE,KERALA,5,4,2024,Weather,0.9426200369947741,True
KAZHAKUTTAM,Vegetables,2024-04-10 13:04:13.527,Amaranthus/Grain Amaranthus,TRIVANDRUM,904607,Suggested to spray Pseuodomonas 20g per litre water,Asked about control of Amaranthus leaf blight,Plant Protection,,HORTICULTURE,KERALA,10,4,2024,Plant Protection,1.0,True
KILIMANOOR,Others,2024-04-10 13:11:49.080,Others,TRIVANDRUM,904583,There is no chance of Rainfall today.,Farmer asked query on Weather,Weather,,AGRICULTURE,KERALA,10,4,2024,Weather,1.0,True
KILIMANOOR,Others,2024-04-12 07:07:35.923,Others,TRIVANDRUM,923132,"Suggested weather forecast for Coimbatore, Tamilnadu. There 80% chance for rainfall today . Today's expected maximum temperature is 34°C and minimum temperature is 24°C. Expected wind speed is 13 Km/hr. Schedule agricultural operations as per the weather forecast.",Farmer asked query on Weather,Weather,,AGRICULTURE,KERALA,12,4,2024,Weather,0.9423345976835082,True
VAMANAPURAM,Sugar and Starch Crops,2024-04-12 09:52:40.753,Tapioca (Cassava),TRIVANDRUM,923125,Retain two shoots on each plant in opposite directions and remove excess shoots about 30 days after planting.,Asked about number of shoots to be retained on tapioca,Cultural Practices,,AGRICULTURE,KERALA,12,4,2024,Cultural Practices,0.6536532042789613,True
KILIMANOOR,Vegetables,2024-04-12 12:52:52.887,Cowpea (Vegetable),TRIVANDRUM,923133,Suggested to drench Copper oxy chloride (3g per litre water) at root zone.,Asked about management of root rot of Cowpea,Plant Protection,,HORTICULTURE,KERALA,12,4,2024,Plant Protection,0.9061542954392927,True
KILIMANOOR,Others,2024-04-13 15:41:44.343,Others,TRIVANDRUM,933037,"Weather forecast for Vadavoor, Tamil Nadu - There are no possibility for rainfall in the upcoming week. Tomorrow's expected maximum temperature is 34oC and minimum temperature is 28oC. Wind speed is likely to run at 14 km/hr. Schedule the agricultural operations as per the weather forecast",Farmer asked query on Weather,Weather,,AGRICULTURE,KERALA,13,4,2024,Weather,0.9450827259192031,True
KILIMANOOR,Vegetables,2024-04-14 16:47:06.293,Cowpea (Vegetable),TRIVANDRUM,942193,Suggested to spray Verticilium 20g/L.,Asked about the management of Bugs in Cowpea.,Plant Protection,,HORTICULTURE,KERALA,14,4,2024,Plant Protection,1.0,True
KILIMANOOR,Vegetables,2024-04-15 20:56:29.673,Tomato,TRIVANDRUM,950168,Suggested to soil drench with Copper Oxychoride 2.5g/L,Asked about the management of wilt disease  in Tomato.,Plant Protection,,HORTICULTURE,KERALA,15,4,2024,Plant Protection,1.0,True
ATHIYANNOOR,Vegetables,2024-04-17 19:35:44.370,Bhindi(Okra/Ladysfinger),TRIVANDRUM,964412,spray bi weekly once till the infestation no more,Asked about frequency of 2% neem oil garlic emulsion for bhindi fruit borer,Plant Protection,,HORTICULTURE,KERALA,17,4,2024,Plant Protection,1.0,True
NEDUMANGAD,Vegetables,2024-04-20 12:15:36.333,Cucumber,TRIVANDRUM,983640,Suggested to spray azadiractin 5ml per liters of water,Asked about management of fruit borer and fruit fly in cucumber,Plant Protection,,HORTICULTURE,KERALA,20,4,2024,Plant Protection,1.0,True
ATHIYANNOOR,Others,2024-04-20 21:15:14.460,Others,TRIVANDRUM,983609,Weather forecast for kadaykal. There is no chance for rainfall today and upcoming days. Today's maximum temperature is 33°C and minimum temperature is 27°C.Wind is expected to run at 14km/hr. Schedule agriculture operations as per the weather forecast.,Farmer asked query on Weather,Weather,,AGRICULTURE,KERALA,20,4,2024,Weather,0.9376110948462641,True
KAZHAKUTTAM,Others,2024-04-20 21:24:19.300,Others,TRIVANDRUM,983641,Weather forecast for kazhakuttam- There is no chances for rainfall today and in the next two days but partly cloudy weather will remain. Today's expected maximum temperature is  34°C and minimum temperature of 28°C and wind speed is likely to run at 14 kilometres per hour. Schedule the agricultural operations as per the weather forecast,Farmer asked query on Weather,Weather,,AGRICULTURE,KERALA,20,4,2024,Weather,0.916962063824305,True
CHIRAYINKEEZHU,Fruits,2024-04-20 21:27:27.060,Mango,TRIVANDRUM,983659,Spray pseudomonas fluorescence @ 20g/L,Asked about management of powdery mildew in mango,Plant Protection,,HORTICULTURE,KERALA,20,4,2024,Plant Protection,1.0,True
KAZHAKUTTAM,Vegetables,2024-04-22 07:03:26.390,Tomato,TRIVANDRUM,996254,Suggested to cut affected portion and spray neem oil garlic emulsion,Asked about management of leaf curl disease in tomato,Plant Protection,,HORTICULTURE,KERALA,22,4,2024,Plant Protection,1.0,True
ATHIYANNOOR,Others,2024-04-23 12:58:14.107,Others,TRIVANDRUM,1003150,There's 60% chance for rainfall today. It is recommended to do the spraying tomorrow morning,Farmer asked query on Weather,Weather,,AGRICULTURE,KERALA,23,4,2024,Weather,1.0,True
PARASSALA,Fruits,2024-04-23 17:20:25.533,Sapota,TRIVANDRUM,1003165,Suggested to spray Borax 1g/L.,Asked about the fruit dropping in sapota.,Nutrient Management,,HORTICULTURE,KERALA,23,4,2024,Nutrient Management,1.0,True
PARASSALA,Others,2024-04-23 17:33:08.130,Others,TRIVANDRUM,1003164,"Weather forecast for Neyyattinkara, Kerala. There is a chance of rainfall today and There is no chance of rainfall for upcoming days. Today's maximum temperature is 35°C and minimum temperature is 28°C.Wind is expected to run at 8km/hr. Schedule agriculture operations as per the weather forecast.",Farmer asked query on Weather,Weather,,AGRICULTURE,KERALA,23,4,2024,Weather,0.9436839197797161,True
PARASSALA,Others,2024-04-25 19:39:15.707,Others,TRIVANDRUM,1016849,"Weather forecast for Neyyattinkara, Kerala. There is a chance of rainfall today and There is no chance of rainfall for upcoming days. Today's maximum temperature is 34°C and minimum temperature is 28°C.Wind is expected to run at 4km/hr. Schedule agriculture operations as per the weather forecast.",Farmer asked query on Weather,Weather,,AGRICULTURE,KERALA,25,4,2024,Weather,0.9400201798865062,True
KAZHAKUTTAM,Others,2024-04-27 18:11:29.453,Others,TRIVANDRUM,1028281,"Weather forecast for Kazhakkoottam, Kerala- There are no possibility for rainfall in the upcoming week. Tomorrow's expected maximum temperature is 35oC and minimum temperature is 28oC. Wind speed is likely to run at 6 km/hr. Schedule the agricultural operations as per the weather forecast",Farmer asked query on Weather,Weather,,AGRICULTURE,KERALA,27,4,2024,Weather,0.9461216438118486,True
