case_id,variant,crop,state,season
IDUKKI_Amarphophallus (Surankand/Elephant Foot Yam),Plant Protection,Amarphophallus (Surankand/Elephant Foot Yam),KERALA,
IDUKKI_Apple,Plant Protection -> Plant Protection,Apple,KERALA,
IDUKKI_Apricot,Plant Protection,Apricot,KERALA,
IDUKKI_Arecanut,Nutrient Management -> Nutrient Management -> Weather -> Nutrient Management -> Plant Protection -> Nutrient Management -> Plant Protection -> Nutrient Management -> Nutrient Management -> Plant Protection,Arecanut,KERALA,
IDUKKI_Avacado,"Water Management, Micro Irrigation -> Nutrient Management -> Seeds and Planting Material -> Field Preparation -> Market Information",Avacado,KERALA,
IDUKKI_Bail,Plant Protection,Bail,KERALA,
IDUKKI_Banana,"Plant Protection -> Plant Protection -> Nutrient Management -> Plant Protection -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Plant Protection -> Nutrient Management -> Nutrient Management -> Plant Protection -> Post Harvest Management (Cleaning, Grading, Packaging, Food Processing, Cool Chain etc.) -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Field Preparation -> Plant Protection -> Nutrient Management -> Plant Protection -> Plant Protection -> Nutrient Management",Banana,KERALA,
IDUKKI_Beans,Plant Protection -> Plant Protection,Beans,KERALA,
IDUKKI_Betel Vine,Seeds and Planting Material,Betel Vine,KERALA,
IDUKKI_Bhindi(Okra/Ladysfinger),Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management -> Cultural Practices -> Nutrient Management,Bhindi(Okra/Ladysfinger),KERALA,
IDUKKI_Bitter Gourd,Seeds and Planting Material -> Plant Protection -> Plant Protection -> Plant Protection -> Organic Farming -> Plant Protection -> Plant Protection,Bitter Gourd,KERALA,
IDUKKI_Brinjal,Plant Protection,Brinjal,KERALA,
IDUKKI_Cabbage,Plant Protection -> Nutrient Management,Cabbage,KERALA,
IDUKKI_Cardamom,"Nutrient Management -> Plant Protection -> Plant Protection -> Nutrient Management -> Plant Protection -> Nutrient Management -> Plant Protection -> Plant Protection -> Nutrient Management -> Plant Protection -> Nutrient Management -> Plant Protection -> Weather -> Plant Protection -> Plant Protection -> Water Management, Micro Irrigation -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Plant Protection -> Field Preparation -> Nutrient Management -> Plant Protection -> Plant Protection -> Nutrient Management -> Nutrient Management -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Weather -> Plant Protection -> Nutrient Management -> Plant Protection -> Plant Protection -> Cultural Practices -> Plant Protection -> Nutrient Management -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management -> Fertilizer Use and Availability -> Plant Protection -> Nutrient Management -> Nutrient Management -> Plant Protection -> Nutrient Management -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Cultural Practices -> Plant Protection -> Plant Protection -> Nutrient Management -> Plant Protection -> Nutrient Management",Cardamom,KERALA,
IDUKKI_Cashew,Seeds and Planting Material -> Field Preparation -> Seeds and Planting Material,Cashew,KERALA,
IDUKKI_Chillies,Plant Protection -> Plant Protection -> Plant Protection -> Seeds and Planting Material -> Plant Protection,Chillies,KERALA,
IDUKKI_Clove,Nutrient Management -> Agriculture Mechanization,Clove,KERALA,
IDUKKI_Cocoa,Nutrient Management -> Nutrient Management -> Nutrient Management -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management -> Nutrient Management -> Plant Protection -> Nutrient Management -> Nutrient Management -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management,Cocoa,KERALA,
IDUKKI_Coconut,Plant Protection -> Nutrient Management -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Organic Farming -> Nutrient Management -> Plant Protection -> Cultural Practices -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management -> Plant Protection -> Plant Protection -> Nutrient Management -> Plant Protection -> Plant Protection,Coconut,KERALA,
IDUKKI_Coffee,Seeds and Planting Material,Coffee,KERALA,
IDUKKI_Cowpea (Vegetable),Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management -> Plant Protection -> Nutrient Management -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management -> Plant Protection -> Plant Protection -> Plant Protection,Cowpea (Vegetable),KERALA,
IDUKKI_Cucumber,Cultural Practices -> Plant Protection -> Plant Protection -> Plant Protection,Cucumber,KERALA,
IDUKKI_Dog,Disease Reporting -> Disease Reporting,Dog,KERALA,
IDUKKI_Drum Stick,Nutrient Management,Drum Stick,KERALA,
IDUKKI_Ginger,Cultural Practices -> Plant Protection -> Plant Protection -> Nutrient Management -> Plant Protection -> Plant Protection -> Plant Protection -> Organic Farming -> Plant Protection,Ginger,KERALA,
IDUKKI_Grape,Nutrient Management,Grape,KERALA,
IDUKKI_Indian Bean (Vegetable),Plant Protection,Indian Bean (Vegetable),KERALA,
IDUKKI_Ivy Gourd,Plant Protection -> Plant Protection -> Nutrient Management,Ivy Gourd,KERALA,
IDUKKI_Jack Fruit,Nutrient Management -> Cultural Practices,Jack Fruit,KERALA,
IDUKKI_Large Cardamom,"Plant Protection -> Weather -> Plant Protection -> Water Management, Micro Irrigation",Large Cardamom,KERALA,
IDUKKI_Lemon,Plant Protection,Lemon,KERALA,
IDUKKI_Mango,Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Plant Protection -> Nutrient Management -> Plant Protection -> Cultural Practices -> Plant Protection -> Cultural Practices,Mango,KERALA,
IDUKKI_Mentha,Cultural Practices,Mentha,KERALA,
IDUKKI_Nutmeg,Plant Protection -> Plant Protection -> Nutrient Management -> Cultural Practices -> Nutrient Management -> Plant Protection -> Nutrient Management -> Plant Protection -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Plant Protection -> Nutrient Management -> Nutrient Management -> Cultural Practices -> Nutrient Management -> Nutrient Management -> Nutrient Management,Nutmeg,KERALA,
IDUKKI_POULTRY  FARM,"Animal Production (Piggery, Goatery, Sheep Farming etc.)",POULTRY  FARM,KERALA,
IDUKKI_Paddy (Dhan),Seeds,Paddy (Dhan),KERALA,
IDUKKI_Papaya,Plant Protection -> Nutrient Management -> Organic Farming,Papaya,KERALA,
IDUKKI_Pepper,"Plant Protection -> Plant Protection -> Seeds and Planting Material -> Plant Protection -> Post Harvest Management (Cleaning, Grading, Packaging, Food Processing, Cool Chain etc.) -> Post Harvest Management (Cleaning, Grading, Packaging, Food Processing, Cool Chain etc.) -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management -> Field Preparation -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management -> Nutrient Management -> Plant Protection -> Plant Protection -> Post Harvest Management (Cleaning, Grading, Packaging, Food Processing, Cool Chain etc.)",Pepper,KERALA,
IDUKKI_Pomegranate,Nutrient Management -> Nutrient Management -> Plant Protection,Pomegranate,KERALA,
IDUKKI_Rubber,Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Plant Protection -> Cultural Practices -> Plant Protection,Rubber,KERALA,
IDUKKI_Sandal Wood,Plant Protection -> Cultural Practices,Sandal Wood,KERALA,
IDUKKI_Sapota,Nutrient Management,Sapota,KERALA,
IDUKKI_Tapioca (Cassava),Post Harvest Preservation -> Plant Protection -> Nutrient Management -> Plant Protection -> Agriculture Mechanization -> Plant Protection -> Nutrient Management -> Field Preparation -> Soil Testing,Tapioca (Cassava),KERALA,
IDUKKI_Tomato,Plant Protection -> Nutrient Management,Tomato,KERALA,
IDUKKI_Vanilla,Plant Protection,Vanilla,KERALA,
KANNUR_Acid Lime,Nutrient Management,Acid Lime,KERALA,
KANNUR_Amaranthus/Grain Amaranthus,Plant Protection -> Field Preparation -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management,Amaranthus/Grain Amaranthus,KERALA,
KANNUR_Arecanut,"Water Management, Micro Irrigation -> Nutrient Management -> Nutrient Management -> Plant Protection -> Nutrient Management -> Nutrient Management -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management -> Plant Protection -> Plant Protection -> Cultural Practices -> Weather -> Nutrient Management -> Plant Protection -> Plant Protection -> Weather -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Seeds and Planting Material -> Seeds and Planting Material -> Nutrient Management -> Plant Protection -> Nutrient Management -> Nutrient Management -> Plant Protection -> Plant Protection -> Nutrient Management -> Nutrient Management -> Plant Protection -> Nutrient Management -> Nutrient Management -> Plant Protection -> Weather -> Plant Protection -> Seeds and Planting Material -> Nutrient Management -> Plant Protection -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Field Preparation -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Plant Protection -> Plant Protection -> Nutrient Management -> Nutrient Management -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Plant Protection -> Plant Protection -> Nutrient Management -> Plant Protection -> Nutrient Management",Arecanut,KERALA,
KANNUR_Ash Gourd (Petha),Plant Protection -> Nutrient Management,Ash Gourd (Petha),KERALA,
KANNUR_Avacado,Nutrient Management -> Cultural Practices,Avacado,KERALA,
KANNUR_Banana,Nutrient Management -> Nutrient Management -> Plant Protection -> Plant Protection -> Nutrient Management -> Plant Protection -> Cultural Practices -> Nutrient Management -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Cultural Practices -> Cultural Practices -> Nutrient Management -> Plant Protection -> Nutrient Management -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Plant Protection -> Nutrient Management -> Plant Protection -> Nutrient Management -> Nutrient Management -> Plant Protection -> Nutrient Management -> Seeds and Planting Material -> Plant Protection -> Plant Protection,Banana,KERALA,
KANNUR_Betel Vine,Plant Protection,Betel Vine,KERALA,
KANNUR_Bhindi(Okra/Ladysfinger),"Nutrient Management -> Water Management, Micro Irrigation -> Plant Protection -> Organic Farming -> Field Preparation -> Nutrient Management",Bhindi(Okra/Ladysfinger),KERALA,
KANNUR_Bitter Gourd,Plant Protection -> Nutrient Management -> Plant Protection -> Plant Protection -> Cultural Practices -> Nutrient Management -> Nutrient Management -> Plant Protection -> Plant Protection -> Plant Protection,Bitter Gourd,KERALA,
KANNUR_Bottle Gourd,Plant Protection -> Plant Protection,Bottle Gourd,KERALA,
"KANNUR_Bovine(Cow,Buffalo)",Disease Management -> Disease Management,"Bovine(Cow,Buffalo)",KERALA,
KANNUR_Brinjal,Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection,Brinjal,KERALA,
KANNUR_Cardamom,Nutrient Management,Cardamom,KERALA,
KANNUR_Cashew,Field Preparation -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Cultural Practices -> Seeds and Planting Material,Cashew,KERALA,
KANNUR_Chillies,Plant Protection -> Nutrient Management -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management -> Cultural Practices -> Nutrient Management -> Plant Protection -> Nutrient Management -> Seeds and Planting Material -> Plant Protection,Chillies,KERALA,
KANNUR_Clove,Seeds and Planting Material,Clove,KERALA,
KANNUR_Cocoa,"Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Water Management, Micro Irrigation -> Nutrient Management -> Cultural Practices",Cocoa,KERALA,
KANNUR_Coconut,"Nutrient Management -> Water Management, Micro Irrigation -> Nutrient Management -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Plant Protection -> Nutrient Management -> Plant Protection -> Plant Protection -> Plant Protection -> Fertilizer Use and Availability -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Cultural Practices -> Nutrient Management -> Cultural Practices -> Plant Protection -> Plant Protection -> Nursery Management -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management -> Plant Protection -> Nutrient Management -> Nutrient Management -> Plant Protection -> Plant Protection -> Nutrient Management -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Plant Protection -> Nutrient Management -> Nutrient Management -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management -> Seeds and Planting Material -> Plant Protection -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Plant Protection -> Plant Protection -> Nutrient Management -> Plant Protection -> Plant Protection -> Plant Protection -> Cultural Practices -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Seeds and Planting Material -> Nutrient Management -> Fertilizer Use and Availability -> Nutrient Management -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management -> Nutrient Management -> Plant Protection -> Plant Protection -> Nutrient Management -> Cultural Practices -> Nutrient Management -> Nutrient Management -> Plant Protection -> Nutrient Management -> Fertilizer Use and Availability",Coconut,KERALA,
KANNUR_Coffee,Cultural Practices,Coffee,KERALA,
"KANNUR_Colocasia (Arvi, Arbi)",Cultural Practices,"Colocasia (Arvi, Arbi)",KERALA,
KANNUR_Cowpea (Vegetable),Plant Protection -> Plant Protection -> Nutrient Management -> Seeds and Planting Material -> Seeds and Planting Material -> Plant Protection -> Nutrient Management -> Plant Protection -> Plant Protection -> Nutrient Management,Cowpea (Vegetable),KERALA,
KANNUR_Cucumber,Plant Protection -> Nutrient Management -> Nutrient Management -> Cultural Practices -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management -> Plant Protection -> Cultural Practices -> Cultural Practices -> Cultural Practices -> Nutrient Management -> Cultural Practices,Cucumber,KERALA,
KANNUR_Curry Leaf,Nutrient Management -> Plant Protection,Curry Leaf,KERALA,
KANNUR_Dolichos Bean,Plant Protection,Dolichos Bean,KERALA,
KANNUR_Fig,Plant Protection,Fig,KERALA,
KANNUR_Ginger,"Cultural Practices -> Cultural Practices -> Nutrient Management -> Nursery Management -> Plant Protection -> Post Harvest Management (Cleaning, Grading, Packaging, Food Processing, Cool Chain etc.)",Ginger,KERALA,
KANNUR_Goat,Market Information,Goat,KERALA,
KANNUR_Grape,Nutrient Management,Grape,KERALA,
KANNUR_Guava,Cultural Practices,Guava,KERALA,
KANNUR_Guineafowl,Dairy Production,Guineafowl,KERALA,
KANNUR_Hibiscus (Gurhal),Plant Protection -> Nutrient Management,Hibiscus (Gurhal),KERALA,
KANNUR_Ivy Gourd,Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management,Ivy Gourd,KERALA,
KANNUR_Jack Fruit,Plant Protection -> Plant Protection -> Nutrient Management -> Seeds and Planting Material -> Vegetative Propagation and Tissue Culture -> Plant Protection -> Organic Farming -> Plant Protection -> Plant Protection,Jack Fruit,KERALA,
KANNUR_Lemon,Plant Protection -> Plant Protection -> Nutrient Management,Lemon,KERALA,
KANNUR_Mango,"Plant Protection -> Plant Protection -> Seeds and Planting Material -> Cultural Practices -> Plant Protection -> Seeds and Planting Material -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Seeds and Planting Material -> Seeds and Planting Material -> Plant Protection -> Post Harvest Management (Cleaning, Grading, Packaging, Food Processing, Cool Chain etc.) -> Nutrient Management -> Plant Protection -> Seeds and Planting Material -> Plant Protection -> Plant Protection -> Plant Protection",Mango,KERALA,
KANNUR_Marigold,Plant Protection -> Plant Protection -> Nutrient Management,Marigold,KERALA,
KANNUR_Mosambi,Nutrient Management,Mosambi,KERALA,
KANNUR_Nutmeg,Nutrient Management -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Plant Protection -> Plant Protection,Nutmeg,KERALA,
KANNUR_Oil palm,Plant Protection,Oil palm,KERALA,
KANNUR_Paddy (Dhan),Nutrient Management -> Nutrient Management -> Seeds -> Seeds -> Water Management -> Nutrient Management -> Nutrient Management -> Plant Protection,Paddy (Dhan),KERALA,
KANNUR_Papaya,Plant Protection -> Nutrient Management -> Nutrient Management -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management,Papaya,KERALA,
KANNUR_Passion Fruit,Nutrient Management,Passion Fruit,KERALA,
KANNUR_Pepper,"Cultural Practices -> Plant Protection -> Weather -> Post Harvest Management (Cleaning, Grading, Packaging, Food Processing, Cool Chain etc.) -> Cultural Practices -> Cultural Practices -> Plant Protection -> Plant Protection -> Cultural Practices -> Cultural Practices -> Medicinal and Aromatic Plants -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Plant Protection -> Seeds and Planting Material -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Cultural Practices -> Nutrient Management -> Nutrient Management -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Weather -> Plant Protection -> Plant Protection -> Weather -> Plant Protection -> Plant Protection -> Plant Protection -> Cultural Practices -> Nutrient Management -> Nutrient Management -> Plant Protection -> Water Management, Micro Irrigation -> Plant Protection -> Water Management, Micro Irrigation -> Plant Protection -> Plant Protection -> Organic Farming -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management -> Seeds and Planting Material -> Nutrient Management -> Plant Protection -> Plant Protection -> Nutrient Management -> Plant Protection -> Plant Protection -> Nutrient Management -> Nutrient Management -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management -> Plant Protection -> Plant Protection -> Nutrient Management -> Nutrient Management -> Plant Protection -> Nutrient Management -> Nutrient Management -> Plant Protection -> Field Preparation",Pepper,KERALA,
KANNUR_Pineapple,Seeds and Planting Material,Pineapple,KERALA,
KANNUR_Ridge Gourd,Nutrient Management,Ridge Gourd,KERALA,
KANNUR_Rubber,"Water Management, Micro Irrigation -> Nutrient Management -> Nutrient Management -> Cultural Practices -> Nutrient Management -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Cultural Practices -> Plant Protection -> Post Harvest Management (Cleaning, Grading, Packaging, Food Processing, Cool Chain etc.)",Rubber,KERALA,
KANNUR_Sapota,Nutrient Management -> Cultural Practices,Sapota,KERALA,
KANNUR_Tapioca (Cassava),Cultural Practices -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Water Management -> Nutrient Management -> Nutrient Management -> Cultural Practices -> Nutrient Management -> Cultural Practices,Tapioca (Cassava),KERALA,
KANNUR_Teak,Plant Protection,Teak,KERALA,
KANNUR_Tomato,Plant Protection -> Plant Protection -> Nutrient Management -> Nutrient Management -> Plant Protection -> Nutrient Management,Tomato,KERALA,
KANNUR_Turmeric,"Market Information -> Nutrient Management -> Post Harvest Management (Cleaning, Grading, Packaging, Food Processing, Cool Chain etc.) -> Cultural Practices -> Cultural Practices -> Field Preparation -> Field Preparation -> Nutrient Management",Turmeric,KERALA,
KASARGOD_Amaranthus/Grain Amaranthus,Seeds and Planting Material -> Weather -> Weather,Amaranthus/Grain Amaranthus,KERALA,
KASARGOD_Amarphophallus (Surankand/Elephant Foot Yam),Plant Protection,Amarphophallus (Surankand/Elephant Foot Yam),KERALA,
KASARGOD_Arecanut,"Plant Protection -> Nutrient Management -> Cultural Practices -> Cultural Practices -> Weather -> Plant Protection -> Plant Protection -> Weather -> Weather -> Weather -> Cultural Practices -> Nutrient Management -> Nutrient Management -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Plant Protection -> Nutrient Management -> Plant Protection -> Plant Protection -> Water Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Plant Protection -> Nutrient Management -> Post Harvest Management (Cleaning, Grading, Packaging, Food Processing, Cool Chain etc.) -> Nutrient Management -> Plant Protection -> Plant Protection -> Nutrient Management -> Plant Protection -> Plant Protection -> Nutrient Management -> Nutrient Management -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Plant Protection -> Nutrient Management",Arecanut,KERALA,
KASARGOD_Banana,"Plant Protection -> Plant Protection -> Nutrient Management -> Nutrient Management -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Plant Protection -> Water Management, Micro Irrigation -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Water Management, Micro Irrigation",Banana,KERALA,
KASARGOD_Betel Vine,Cultural Practices,Betel Vine,KERALA,
KASARGOD_Bhindi(Okra/Ladysfinger),Cultural Practices,Bhindi(Okra/Ladysfinger),KERALA,
KASARGOD_Bitter Gourd,Credit -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection,Bitter Gourd,KERALA,
KASARGOD_Bottle Gourd,"Water Management, Micro Irrigation -> Water Management",Bottle Gourd,KERALA,
"KASARGOD_Bovine(Cow,Buffalo)",Disease Management -> Dairy Production -> Dairy Production,"Bovine(Cow,Buffalo)",KERALA,
KASARGOD_Brinjal,"Cultural Practices -> Water Management, Micro Irrigation",Brinjal,KERALA,
KASARGOD_Cashew,Seeds and Planting Material -> Seeds and Planting Material,Cashew,KERALA,
KASARGOD_Cauliflower,Nutrient Management,Cauliflower,KERALA,
KASARGOD_Chillies,Plant Protection -> Nutrient Management -> Plant Protection -> Nutrient Management -> Plant Protection,Chillies,KERALA,
KASARGOD_China Astor,Nutrient Management,China Astor,KERALA,
KASARGOD_Chrysanthemum,Nutrient Management,Chrysanthemum,KERALA,
KASARGOD_Cocoa,Nutrient Management,Cocoa,KERALA,
KASARGOD_Coconut,"Nutrient Management -> Plant Protection -> Nutrient Management -> Field Preparation -> Field Preparation -> Field Preparation -> Nutrient Management -> Nutrient Management -> Plant Protection -> Plant Protection -> Nutrient Management -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Water Management, Micro Irrigation -> Water Management -> Fertilizer Use and Availability",Coconut,KERALA,
KASARGOD_Coffee,Nutrient Management,Coffee,KERALA,
KASARGOD_Cowpea (Vegetable),Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management,Cowpea (Vegetable),KERALA,
KASARGOD_Cucumber,Field Preparation -> Nutrient Management -> Plant Protection,Cucumber,KERALA,
KASARGOD_Drum Stick,Cultural Practices,Drum Stick,KERALA,
KASARGOD_Fresh Water,Fish  Marketing -> Fishery Nutrition,Fresh Water,KERALA,
KASARGOD_Ginger,Cultural Practices -> Nutrient Management -> Plant Protection -> Cultural Practices -> Plant Protection -> Nutrient Management,Ginger,KERALA,
KASARGOD_Goat,Cattle shed Planning and Management,Goat,KERALA,
KASARGOD_Ivy Gourd,Cultural Practices -> Plant Protection -> Plant Protection -> Plant Protection,Ivy Gourd,KERALA,
KASARGOD_Jasmine,Cultural Practices,Jasmine,KERALA,
KASARGOD_Mango,Nutrient Management -> Plant Protection -> Plant Protection -> Plant Protection,Mango,KERALA,
KASARGOD_Marigold,Seeds and Planting Material -> Nutrient Management,Marigold,KERALA,
KASARGOD_Nutmeg,Weather -> Cultural Practices,Nutmeg,KERALA,
KASARGOD_Oil palm,Cultural Practices,Oil palm,KERALA,
KASARGOD_Paddy (Dhan),Nutrient Management -> Sowing Time and Weather -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Seeds -> Plant Protection -> Nutrient Management -> Weather,Paddy (Dhan),KERALA,
KASARGOD_Pepper,Weather -> Seeds and Planting Material -> Plant Protection -> Plant Protection -> Nutrient Management,Pepper,KERALA,
KASARGOD_Rubber,"Weather -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Water Management, Micro Irrigation -> Cultural Practices -> Post Harvest Preservation -> Post Harvest Management (Cleaning, Grading, Packaging, Food Processing, Cool Chain etc.) -> Water Management, Micro Irrigation -> Cultural Practices -> Post Harvest Management (Cleaning, Grading, Packaging, Food Processing, Cool Chain etc.)",Rubber,KERALA,
KASARGOD_Sorghum (Jowar/Great Millet),Weed Management,Sorghum (Jowar/Great Millet),KERALA,
KASARGOD_Sweet Potato,Nutrient Management,Sweet Potato,KERALA,
KASARGOD_Tapioca (Cassava),Plant Protection,Tapioca (Cassava),KERALA,
KASARGOD_Tomato,"Plant Protection -> Water Management, Micro Irrigation",Tomato,KERALA,
KASARGOD_Watermelon,Cultural Practices,Watermelon,KERALA,
KOLLAM_Acid Lime,Nutrient Management,Acid Lime,KERALA,
KOLLAM_Amaranthus/Grain Amaranthus,"Post Harvest Management (Cleaning, Grading, Packaging, Food Processing, Cool Chain etc.) -> Nutrient Management",Amaranthus/Grain Amaranthus,KERALA,
KOLLAM_Aonla,Nutrient Management,Aonla,KERALA,
KOLLAM_Arecanut,Seeds and Planting Material -> Cultural Practices -> Plant Protection -> Plant Protection,Arecanut,KERALA,
KOLLAM_Avacado,Field Preparation -> Nutrient Management,Avacado,KERALA,
KOLLAM_Banana,Field Preparation -> Nutrient Management -> Nutrient Management -> Seeds and Planting Material -> Plant Protection -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Plant Protection -> Nutrient Management -> Nutrient Management -> Plant Protection -> Cultural Practices -> Nutrient Management -> Nutrient Management -> Seeds and Planting Material -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Plant Protection -> Cultural Practices -> Nutrient Management -> Nutrient Management -> Fertilizer Use and Availability -> Plant Protection -> Nutrient Management -> Field Preparation -> Nutrient Management,Banana,KERALA,
KOLLAM_Beekeeping,Cultural Practices -> Cultural Practices,Beekeeping,KERALA,
KOLLAM_Bhindi(Okra/Ladysfinger),Plant Protection,Bhindi(Okra/Ladysfinger),KERALA,
KOLLAM_Bitter Gourd,Plant Protection -> Plant Protection -> Plant Protection,Bitter Gourd,KERALA,
KOLLAM_Bottle Gourd,Plant Protection,Bottle Gourd,KERALA,
KOLLAM_Brinjal,Plant Protection,Brinjal,KERALA,
KOLLAM_Cashew,Seeds and Planting Material -> Seeds and Planting Material,Cashew,KERALA,
KOLLAM_Chillies,Nutrient Management -> Plant Protection -> Plant Protection -> Soil Testing -> Plant Protection -> Plant Protection -> Plant Protection,Chillies,KERALA,
